,chr_loc,start,stop,name,prom_lengths
0,1.0,151166.0,147594.0,TFC3,741.0
1,1.0,143707.0,147531.0,VPS8,802.0
2,1.0,142174.0,143160.0,EFB1,721.0
4,1.0,141431.0,139503.0,SSA1,792.0
5,1.0,138345.0,137698.0,ERP2,772.0
6,1.0,136914.0,137510.0,FUN14,750.0
7,1.0,135854.0,136633.0,SPO7,732.0
8,1.0,135665.0,134184.0,MDM10,739.0
9,1.0,132199.0,134076.0,SWC3,704.0
10,1.0,130799.0,131983.0,CYS3,778.0
11,1.0,129270.0,130487.0,DEP1,734.0
12,1.0,129019.0,128252.0,SYN8,748.0
13,1.0,128102.0,126903.0,NTG1,700.0
14,1.0,124879.0,126786.0,TPD3,787.0
15,1.0,120225.0,124295.0,PSK1,1063.0
16,1.0,119541.0,118564.0,YAL018C,700.0
17,1.0,114919.0,118314.0,FUN30,810.0
18,1.0,114615.0,113614.0,ATS1,719.0
19,1.0,113359.0,110846.0,CCR4,752.0
20,1.0,110430.0,108877.0,FUN26,716.0
21,1.0,108551.0,106272.0,PMT2,789.0
22,1.0,105872.0,101565.0,LTE1,809.0
23,1.0,101145.0,100225.0,MAK16,723.0
24,1.0,99697.0,95630.0,DRS2,786.0
25,1.0,94687.0,95472.0,SAW1,781.0
26,1.0,92900.0,94486.0,FRT2,748.0
27,1.0,92270.0,87855.0,MYO4,948.0
28,1.0,87286.0,87752.0,SNC1,723.0
29,1.0,87031.0,84749.0,GIP4,745.0
30,1.0,84474.0,83335.0,PRP45,720.0
31,1.0,82706.0,83227.0,POP5,708.0
32,1.0,81951.0,80710.0,FUN19,700.0
33,1.0,76427.0,79435.0,FUN12,735.0
34,1.0,76152.0,75043.0,RBG1,735.0
36,1.0,71786.0,73288.0,CDC19,1200.0
37,1.0,69525.0,68716.0,CYC3,774.0
38,1.0,67520.0,65778.0,CLN3,1195.0
39,1.0,62840.0,65404.0,CDC24,764.0
40,1.0,61316.0,62563.0,ERV46,740.0
41,1.0,61052.0,58695.0,PTA1,722.0
42,1.0,58462.0,57950.0,GCV3,712.0
44,1.0,57385.0,57029.0,AIM1,714.0
45,1.0,56857.0,54989.0,SPC72,729.0
46,1.0,54789.0,52801.0,GEM1,719.0
47,1.0,52595.0,51855.0,AIM2,765.0
48,1.0,48564.0,51707.0,OAF1,752.0
49,1.0,45899.0,48250.0,FLC2,840.0
50,1.0,45022.0,42881.0,ACS1,746.0
51,1.0,42177.0,42719.0,PEX22,712.0
52,1.0,39259.0,41901.0,GPB2,745.0
53,1.0,37464.0,38972.0,CNE1,752.0
54,1.0,36509.0,37147.0,ECM1,700.0
55,1.0,35155.0,36303.0,BDH1,753.0
56,1.0,33448.0,34701.0,BDH2,789.0
57,1.0,31567.0,32940.0,GDH3,779.0
58,1.0,27968.0,24000.0,FLO9,1200.0
59,1.0,21566.0,21850.0,YAL064W,1200.0
62,1.0,9016.0,7235.0,SEO1,1200.0
63,1.0,2169.0,1807.0,PAU8,1200.0
65,1.0,152257.0,153876.0,NUP60,743.0
66,1.0,155005.0,156285.0,SWD1,778.0
67,1.0,158619.0,156754.0,RFA1,763.0
68,1.0,158966.0,159793.0,SEN34,801.0
70,1.0,165866.0,164544.0,YAR010C,700.0
71,1.0,168871.0,166742.0,BUD14,850.0
72,1.0,169375.0,170295.0,ADE1,809.0
73,1.0,171703.0,170396.0,KIN3,716.0
74,1.0,175135.0,172211.0,CDC15,1021.0
75,1.0,177023.0,176856.0,PAU7,1200.0
76,1.0,179820.0,179281.0,YAR023C,1200.0
77,1.0,183770.0,184477.0,UIP3,782.0
78,1.0,184892.0,185596.0,YAR028W,756.0
79,1.0,186321.0,186545.0,YAR029W,725.0
81,1.0,186836.0,187732.0,PRM9,700.0
82,1.0,188107.0,188811.0,MST28,756.0
83,1.0,190193.0,192256.0,YAT1,700.0
84,1.0,192619.0,196185.0,SWH1,733.0
87,1.0,203403.0,208016.0,FLO1,1200.0
90,1.0,218140.0,218343.0,YAR061W,1200.0
91,1.0,218549.0,219145.0,YAR062W,700.0
92,1.0,220198.0,220497.0,YAR064W,1053.0
93,1.0,221049.0,221660.0,YAR066W,776.0
94,1.0,222406.0,222891.0,YAR068W,746.0
97,1.0,225460.0,226863.0,PHO11,1200.0
100,2.0,237467.0,237153.0,ECM15,736.0
101,2.0,236492.0,236887.0,HTB2,723.0
102,2.0,235792.0,235394.0,HTA2,731.0
103,2.0,227636.0,235117.0,UTP20,811.0
104,2.0,217470.0,220400.0,PDR3,762.0
105,2.0,217129.0,216587.0,LDB7,710.0
106,2.0,216366.0,212632.0,SLA1,752.0
107,2.0,209653.0,212175.0,HIR1,767.0
108,2.0,207194.0,209224.0,ALK2,739.0
109,2.0,206949.0,206107.0,YBL010C,700.0
110,2.0,203538.0,205817.0,SCT1,801.0
112,2.0,202056.0,203261.0,FMT1,755.0
113,2.0,201748.0,199064.0,RRN6,729.0
114,2.0,194122.0,195702.0,ACH1,791.0
115,2.0,192451.0,193512.0,FUS3,754.0
116,2.0,191583.0,186844.0,PEP1,895.0
117,2.0,186474.0,185998.0,POP8,740.0
118,2.0,184353.0,185915.0,APN2,754.0
119,2.0,182401.0,184125.0,RFT1,779.0
120,2.0,182094.0,181660.0,HAP3,737.0
121,2.0,181275.0,177874.0,PIM1,823.0
122,2.0,177526.0,174920.0,MCM2,768.0
123,2.0,172534.0,174588.0,NCL1,728.0
